G_OFF,MP_OFF,FG_OFF,FGA_OFF,FG%_OFF,3P_OFF,3PA_OFF,3P%_OFF,2P_OFF,2PA_OFF,2P%_OFF,FT_OFF,FTA_OFF,FT%_OFF,ORB_OFF,DRB_OFF,TRB_OFF,AST_OFF,STL_OFF,BLK_OFF,TOV_OFF,PF_OFF,PTS_OFF,G_DEF,MP_DEF,FG_DEF,FGA_DEF,FG%_DEF,3P_DEF,3PA_DEF,3P%_DEF,2P_DEF,2PA_DEF,2P%_DEF,FT_DEF,FTA_DEF,FT%_DEF,ORB_DEF,DRB_DEF,TRB_DEF,AST_DEF,STL_DEF,BLK_DEF,TOV_DEF,PF_DEF,PTS_DEF,WON_MORE_THAN_HALF,Eastern Conference
82,240.3,41.5,88.3,0.47,12.9,34.4,0.374,28.6,53.9,0.531,18.1,22.3,0.812,10.0,33.9,44.0,24.6,7.2,4.2,11.9,18.7,113.9,82,240.3,41.9,89.0,0.471,12.8,35.2,0.364,29.1,53.7,0.541,15.8,19.9,0.792,10.2,33.6,43.9,25.4,7.0,4.5,12.8,20.3,112.4,1,0
82,242.7,40.7,87.4,0.466,13.2,37.1,0.35600000000000004,27.5,50.3,0.547,17.0,20.9,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8,82,242.7,38.3,88.1,0.434,11.8,34.9,0.339,26.4,53.2,0.4970000000000001,16.1,20.6,0.7829999999999999,10.5,33.3,43.7,21.6,7.5,4.6,13.8,19.4,104.5,1,1
82,240.9,42.0,88.4,0.475,11.5,31.7,0.361,30.5,56.7,0.5379999999999999,17.5,21.7,0.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9,82,240.9,40.7,90.2,0.452,12.5,36.3,0.345,28.2,53.9,0.523,18.1,23.0,0.7879999999999999,11.3,32.8,44.1,23.8,7.9,4.9,13.3,19.7,112.1,1,1
82,242.4,42.8,91.4,0.468,13.9,38.2,0.365,28.8,53.3,0.542,15.8,21.4,0.74,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3,82,242.4,42.0,90.1,0.466,14.0,38.7,0.362,28.0,51.4,0.544,16.9,22.1,0.763,11.4,35.6,47.0,26.5,7.5,4.6,15.0,19.6,114.9,1,1
82,240.6,41.7,86.9,0.48,10.6,28.8,0.369,31.1,58.1,0.535,17.5,21.5,0.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,111.6,82,240.6,41.4,87.4,0.474,11.7,32.0,0.366,29.7,55.5,0.536,17.4,21.9,0.795,9.3,33.9,43.2,25.0,7.1,5.0,13.1,18.2,112.0,1,0
82,240.6,39.7,84.6,0.469,11.6,32.8,0.355,28.1,51.9,0.541,16.8,22.1,0.76,10.2,34.0,44.2,25.2,7.1,4.2,14.4,17.5,107.8,82,240.6,39.5,87.2,0.452,11.7,33.2,0.353,27.8,54.0,0.514,15.0,19.4,0.774,10.5,32.4,42.9,24.1,8.4,4.6,13.4,20.0,105.7,1,1
82,240.9,39.3,85.1,0.461,13.1,37.4,0.35,26.2,47.8,0.5479999999999999,16.4,21.2,0.7709999999999999,9.3,33.8,43.0,23.4,6.7,4.0,12.5,19.7,108.0,82,240.9,39.0,85.4,0.457,10.9,32.1,0.34,28.1,53.2,0.527,15.8,20.6,0.767,9.5,34.1,43.6,23.5,7.0,3.7,13.1,20.1,104.7,1,0
82,241.5,41.7,86.3,0.483,12.7,35.9,0.353,29.0,50.4,0.575,16.7,21.0,0.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20.0,112.7,82,241.5,41.1,87.4,0.47,11.8,34.2,0.34600000000000003,29.2,53.2,0.5489999999999999,16.5,21.7,0.757,9.7,32.7,42.4,25.4,7.9,4.8,12.8,19.9,110.4,1,0
82,241.2,38.2,88.6,0.431,11.3,34.6,0.326,26.9,54.0,0.498,17.2,22.0,0.782,11.0,32.0,43.0,23.5,7.7,4.8,14.2,21.9,104.8,82,241.2,40.6,86.0,0.473,11.8,32.5,0.362,28.9,53.5,0.54,19.5,25.1,0.777,10.3,35.9,46.3,25.1,7.4,5.2,14.6,19.8,112.5,0,1
82,240.6,40.5,86.4,0.469,14.3,39.4,0.364,26.2,47.0,0.557,15.6,20.3,0.769,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21.0,111.0,82,240.6,37.9,86.6,0.438,12.2,36.0,0.339,25.7,50.6,0.509,17.4,22.9,0.759,9.7,33.0,42.6,22.9,7.9,3.9,14.5,18.0,105.5,1,0
